name,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20
a_coruna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
albacete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,56.0,37.0,32.0,25.0,73.0,36.0,23.0,22.0,17.0,44.0,18.0,98.0,59.0,85.0,30.0,37.0,86.0,70.0,88.0,97.0,18.0,19.0,33.0,101.0,47.0,73.0,100.0,49.0,14.0,5.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alicante,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,94.0,42.0,2.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,181.0,54.0,229.0,412.0,105.0,182.0,152.0,147.0,125.0,114.0,68.0,46.0,41.0,89.0,47.0,112.0,31.0,140.0,79.0,111.0,55.0,23.0,75.0,32.0,40.0,29.0,17.0,38.0,34.0,48.0,42.0,67.0,11.0,91.0,80.0,80.0,61.0,135.0,28.0,15.0,0.0,0.0,100.0,82.0,68.0,80.0,28.0,29.0,49.0,8.0,3.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,1.0,9.0,3.0,4.0,7.0,9.0,7.0,5.0,16.0,17.0,24.0,19.0,8.0,31.0,27.0,23.0,28.0,11.0,28.0,11.0,18.0,27.0,25.0,0.0,7.0,17.0,5.0,3.0,6.0,4.0,1.0,2.0,12.0,8.0,8.0,14.0,3.0,5.0,7.0,19.0,21.0,5.0,9.0,0.0,6.0,9.0,13.0,24.0,13.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
araba/alava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,16.0,17.0,29.0,30.0,30.0,42.0,77.0,48.0,51.0,50.0,49.0,35.0,30.0,71.0,76.0,0.0,0.0,0.0,0.0,121.0,228.0,175.0,169.0,168.0,102.0,56.0,145.0,97.0,100.0,92.0,100.0,36.0,69.0,62.0,62.0,40.0,82.0,19.0,15.0,21.0,20.0,43.0,38.0,38.0,37.0,10.0,53.0,30.0,44.0,85.0,98.0,39.0,34.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asturias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
avila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,7.0,1.0,24.0,17.0,4.0,51.0,29.0,16.0,42.0,25.0,44.0,72.0,39.0,33.0,32.0,21.0,45.0,48.0,30.0,48.0,41.0,53.0,34.0,27.0,32.0,34.0,38.0,20.0,35.0,14.0,21.0,36.0,52.0,15.0,24.0,41.0,48.0,58.0,38.0,42.0,37.0,55.0,64.0,46.0,45.0,21.0,38.0,30.0,29.0,21.0,25.0,25.0,16.0,12.0,26.0,35.0,16.0,9.0,0.0,6.0,17.0,14.0,4.0,10.0,0.0,3.0,4.0,0.0,6.0,9.0,1.0,0.0,3.0,4.0,12.0,6.0,5.0,19.0,0.0,2.0,4.0,3.0,4.0,9.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,3.0,0.0
badajoz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,14.0,3.0,11.0,11.0,11.0,16.0,14.0,20.0,29.0,28.0,49.0,40.0,72.0,61.0,47.0,28.0,50.0,46.0,25.0,39.0,20.0,17.0,10.0,17.0,19.0,23.0,29.0,61.0,38.0,23.0,5.0,15.0,29.0,21.0,20.0,38.0,13.0,3.0,5.0,7.0,7.0,17.0,0.0,9.0,3.0,0.0,4.0,4.0,1.0,17.0,5.0,0.0,1.0,6.0,8.0,2.0,2.0,4.0,1.0,0.0,1.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0
baleares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,11.0,2.0,0.0,0.0,0.0,3.0,4.0,13.0,51.0,75.0,182.0,334.0,374.0,481.0,651.0,749.0,897.0,1148.0,1276.0,1164.0,942.0,1404.0,1742.0,1638.0,1992.0,1504.0,1281.0,907.0,1517.0,1622.0,1560.0,1178.0,1220.0,900.0,650.0,1012.0,1032.0,1058.0,1315.0,895.0,776.0,647.0,638.0,1002.0,1041.0,1089.0,1437.0,771.0,501.0,893.0,745.0,760.0,795.0,705.0,441.0,260.0,268.0,520.0,356.0,349.0,253.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bizkaia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,6.0,2.0,6.0,12.0,13.0,16.0,14.0,12.0,32.0,43.0,36.0,7.0,96.0,96.0,0.0,0.0,0.0,0.0,312.0,349.0,336.0,277.0,313.0,161.0,165.0,280.0,900.0,342.0,200.0,265.0,114.0,114.0,251.0,214.0,210.0,259.0,147.0,135.0,152.0,154.0,203.0,225.0,201.0,142.0,35.0,110.0,173.0,305.0,195.0,197.0,104.0,60.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burgos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,23.0,8.0,2.0,5.0,39.0,22.0,21.0,61.0,33.0,34.0,56.0,93.0,45.0,74.0,69.0,46.0,30.0,41.0,58.0,47.0,45.0,24.0,21.0,18.0,21.0,29.0,27.0,46.0,44.0,37.0,25.0,25.0,63.0,86.0,44.0,72.0,27.0,17.0,34.0,14.0,45.0,32.0,15.0,15.0,42.0,43.0,149.0,153.0,168.0,29.0,25.0,44.0,69.0,6.0,76.0,62.0,23.0,16.0,3.0,55.0,28.0,8.0,9.0,4.0,12.0,11.0,1.0,1.0,10.0,11.0,16.0,7.0,4.0,8.0,10.0,6.0,6.0,11.0,9.0,6.0,1.0,5.0,15.0,7.0,7.0,8.0,2.0,2.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
caceres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,12.0,14.0,14.0,22.0,22.0,14.0,30.0,31.0,42.0,37.0,16.0,66.0,94.0,66.0,155.0,201.0,116.0,34.0,54.0,22.0,26.0,119.0,36.0,69.0,58.0,4.0,29.0,45.0,60.0,152.0,56.0,55.0,21.0,63.0,90.0,117.0,92.0,23.0,38.0,23.0,42.0,43.0,30.0,38.0,7.0,6.0,4.0,0.0,17.0,22.0,12.0,3.0,0.0,3.0,12.0,6.0,15.0,5.0,3.0,2.0,1.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,6.0,0.0,2.0,0.0,0.0,5.0,2.0,0.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0,2.0,1.0
cadiz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,10.0,13.0,14.0,8.0,18.0,10.0,19.0,23.0,8.0,44.0,67.0,33.0,21.0,49.0,58.0,41.0,60.0,32.0,106.0,52.0,57.0,42.0,50.0,16.0,19.0,20.0,14.0,14.0,14.0,28.0,19.0,11.0,43.0,28.0,38.0,12.0,17.0,7.0,15.0,0.0,43.0,16.0,9.0,12.0,3.0,11.0,12.0,15.0,28.0,20.0,5.0,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cantabria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
castellon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,13.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,102.0,39.0,37.0,93.0,44.0,27.0,47.0,37.0,43.0,47.0,65.0,17.0,7.0,23.0,22.0,76.0,57.0,35.0,27.0,17.0,59.0,26.0,39.0,56.0,10.0,2.0,2.0,60.0,14.0,23.0,118.0,49.0,5.0,8.0,23.0,67.0,27.0,35.0,72.0,14.0,0.0,0.0,47.0,23.0,33.0,9.0,3.0,2.0,16.0,1.0,6.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceuta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_real,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,175.0,121.0,154.0,245.0,154.0,96.0,88.0,58.0,169.0,115.0,99.0,178.0,158.0,204.0,88.0,42.0,89.0,55.0,67.0,51.0,66.0,30.0,30.0,125.0,75.0,88.0,86.0,88.0,79.0,34.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cordoba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,15.0,19.0,4.0,27.0,10.0,23.0,24.0,18.0,37.0,11.0,43.0,57.0,58.0,10.0,65.0,49.0,99.0,89.0,26.0,41.0,54.0,110.0,82.0,72.0,9.0,14.0,15.0,32.0,20.0,17.0,16.0,21.0,21.0,36.0,12.0,7.0,5.0,10.0,9.0,10.0,42.0,21.0,19.0,15.0,6.0,1.0,10.0,21.0,27.0,15.0,1.0,2.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuenca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,36.0,10.0,39.0,40.0,136.0,107.0,33.0,30.0,25.0,13.0,15.0,70.0,70.0,43.0,47.0,86.0,55.0,45.0,130.0,126.0,51.0,90.0,60.0,188.0,188.0,95.0,108.0,75.0,59.0,116.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gipuzkoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,2.0,3.0,2.0,0.0,5.0,10.0,8.0,22.0,17.0,26.0,1.0,41.0,45.0,0.0,0.0,0.0,0.0,110.0,98.0,144.0,89.0,123.0,54.0,42.0,93.0,82.0,68.0,0.0,76.0,32.0,28.0,118.0,78.0,47.0,71.0,81.0,96.0,35.0,75.0,69.0,36.0,27.0,35.0,14.0,19.0,31.0,43.0,64.0,57.0,40.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
girona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,3.0,13.0,17.0,38.0,31.0,47.0,40.0,35.0,104.0,183.0,163.0,171.0,42.0,50.0,0.0,59.0,66.0,180.0,192.0,128.0,150.0,158.0,167.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,163.0,209.0,209.0,182.0,47.0,22.0,87.0,67.0,94.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
granada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,35.0,10.0,28.0,35.0,46.0,68.0,45.0,46.0,39.0,106.0,99.0,69.0,63.0,95.0,54.0,103.0,98.0,121.0,48.0,62.0,87.0,98.0,24.0,49.0,50.0,39.0,47.0,39.0,47.0,60.0,32.0,47.0,15.0,30.0,13.0,54.0,55.0,64.0,58.0,51.0,43.0,54.0,71.0,85.0,32.0,57.0,43.0,57.0,46.0,12.0,15.0,15.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guadalajara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,57.0,61.0,31.0,19.0,67.0,33.0,55.0,31.0,19.0,33.0,38.0,51.0,69.0,49.0,32.0,18.0,18.0,41.0,51.0,7.0,72.0,58.0,10.0,50.0,40.0,26.0,18.0,58.0,9.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
